exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,profile_url,event_source,event_year,profile_checked
ATELIER BRUNETTE,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 H021,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ATELIER-BRUNETTE-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
ATELIER D'EOLE,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 E044,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ATELIER-D-EOLE-4,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
ATELIER DE LA CREATION,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 F054,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ATELIER-DE-LA-CREATION-4,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
ATELIER DES ABCDAIRES,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 E048,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ATELIER-DES-ABCDAIRES-6,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Atelier des perles,parisnauticshow.com,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Atelier-des-perles,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Atelier Emilie,hellokim.fr,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 J042,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Atelier-Emilie-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Atelier Grands Augustins,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 B017,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Atelier-Grands-Augustins,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Atelier Mylène,maisonbonpoil.fr,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Atelier-Mylene-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
ATELIER POETIS,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ATELIER-POETIS-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
ATELIER RUBAEL,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 J040,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/ATELIER-RUBAEL-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
