company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
AEROXSENSE,Stand P27,"AeroXsense conçoit et fabrique en France la gamme AeroXFireshield, des dispositifs autonomes destinés à détecter et à éteindre les départs de feu directement à l’intérieur des tableaux, coffrets et armoires électriques. Installé au plus près du risque, le dispositif se déclenche automatiquement sous l’effet de la chaleur et diffuse un agent extincteur par aérosol condensé. Il fonctionne sans eau, sans batterie, sans alimentation électrique et sans maintenance complexe. Compacte et facile à installer, la gamme AeroXFireshield protège aussi bien les tableaux électriques des logements que les équipements photovoltaïques, les bornes de recharge, les coffrets de piscine, les camping-cars et les installations professionnelles ou industrielles. Fabriqués en France et labellisés Origine France Garantie, nos produits apportent une solution simple, accessible et préventive pour agir dès les premières secondes d’un incendie électrique. AeroXFireshield : une longueur d’avance sur le feu.",,,https://aeroxsense.com,,,
AGERRIA FOIE GRAS,Stand L81,,,,,,,
Agour,Stand K85,"La Maison Agour véhicule une image moderne, dynamique et ouverte de ses terroirs, en valorisant la richesse gastronomique du Pays Basque et du Sud-Ouest bien au-delà de ses frontières. À travers une gamme complète de produits, de l’entrée au dessert, les spécialités de la Maison Agour Etxea, fromages de brebis Ossau-Iraty AOP, Jambon de Bayonne IGP, salaisons, gourmandises sucrées et chocolats, s’imposent comme de véritables ambassadeurs du terroir basque et gascon à l’échelle nationale et internationale. Présente dans l’ensemble des circuits de distribution, des crémiers-fromagers et bouchers-charcutiers aux grandes surfaces, en passant par la restauration et l’export, la Maison Agour renforce la visibilité et l’attractivité de ses terroirs. Cette reconnaissance contribue à faire rayonner le savoir-faire basque dans le monde et à promouvoir une image authentique, qualitative et innovante de la gastronomie du Sud-Ouest.",,,https://agour.com,,,
AIGAN CREATION,Stand M38-N39,"Je confectionne artisanalement des sacs, bananes, trousses et pochettes textiles, aux motifs et couleurs variés. Certaines de mes créations sont réalisées à partir de coupons de tissus de fin de série, ce qui permet de valoriser les matières et de proposer des pièces originales en petites séries.",,,https://aigancreation.fr,,,
AINHOA MAROQUINERIE,Stand D48,,,,https://ainhoamaroquinerie.fr,,,
AIRPLUM,Stand G35,"Les chaussons et pantoufles AIRPLUM bénéficient de la technologie brevetée des semelles AIRFLEX, composées de 55% de bulles d’air. Ils assurent ainsi légèreté, souplesse, confort et isolation sonore, tout cela allié aux styles à la fois modernes et traditionnels de chaussons fabriques avec passion dans le Périgord depuis 1947 !",,,https://airplum.fr,,,
AIRPURLABS,Stand O25,"Lauréat du concours Lépine, Airpurlabs lutte contre les polluants chimiques invisibles présents dans nos intérieurs. Inventé, breveté et fabriqué en Alsace dans une démarche solidaire, notre purificateur d’air écologique — sans électricité ni résidu — défend un droit vital : respirer un air sain.",,,https://airpurlabs.com,,,
ALEXANDRA D'ABY,Stand M38-N39,"Fondée en 2024, Alexandra d’Aby est une marque française de Prêt-àPorter féminin et d’accessoires positionnée sur le segment de la création haut de gamme responsable. La marque développe des pièces uniques et des séries limitées, conçues à partir de matières rares, principalement issues de fins de séries de grandes maisons, de ressourceries et de stocks dormants. Cette approche permet de proposer une offre différenciante, tout en limitant le recours aux matières neuves et en s’inscrivant dans une logique d’économie circulaire. Le positionnement d’Alexandra d’Aby repose sur trois piliers : • Une création haut de gamme et distinctive, fondée sur l’exclusivité et la rareté des matières ; • Un savoir-faire artisanal, notamment dans le domaine de l’ennoblissement textile ; • Une production responsable Made in France, privilégiant la qualité, la durabilité et la limitation des impacts environnementaux. Chaque pièce est enrichie par des techniques issues des métiers d’art. Ces procédés constituent un véritable avantage concurrentiel : ils renforcent la valeur perçue des produits et rendent chaque création difficilement reproductible. La marque a obtenu le label « Fabriqué à Paris 2026 », qui vient reconnaître la qualité du savoir-faire, l’ancrage local et le caractère artisanal de la production. Dans un marché de la mode marqué par la recherche de sens, de traçabilité et de consommation plus raisonnée, Alexandra d’Aby répond à une demande croissante pour des produits exclusifs, durables et porteurs d’une véritable histoire.",,,https://alexandradaby.fr,,,
ALEXANDRE MAREUIL,Stand Village de l'Artisanat - D21.150,,,,https://alexandremareuil.com,,,
ALFAPAC,Stand H16-i15,"Cette année, alfapac célèbre ses 40 ans aux côtés des foyers français. Depuis 1986, la marque accompagne les gestes du quotidien avec des solutions de conservation, de cuisson et de gestion des déchets conçues pour être pratiques, fiables et innovantes. Fidèle à son savoir-faire industriel français, alfapac poursuit son engagement en développant des produits intégrant davantage de matières recyclées ou renouvelables. Depuis 40 ans, notre ambition reste la même : être utiles, chaque jour, à vos côtés.",,,https://alfapac.eu,,,
