company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Italian Aerospace Research Centre (CIRA),"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
Italian Space Agency (ASI),1A -08,,,,,,,
Italian Trade Agency (ITA),"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
Japan Aerospace Exploration Agency (JAXA),"1F -04, 1F-02",,,,,,,
Japan Leo Shachu Inc.,"1F -04, 1F-02",,,,,,,
Jena-Optronik GmbH (JOP),"1H -18, 1F-08,1H-16",,,,,,,
KARAKAMLAR,2B -06,,,,,,,
Kayser Italia S.r.l,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
Kencoa Aerospace,"1A -07, 1A-10",,,,,,,
Kongsberg NanoAvionics,1H -10,,,,,,,
Kongsberg Satellite Services (KSAT),2B-02,,,,,,,
KONYA MUNICIPALITY,2B -06,,,,,,,
Korea Aerospace Administration (KASA),"1A -07, 1A-10",,,,,,,
Korea Aerospace Industries (KAI),1H-24,,,,,,,
Lambda-X,2A -04,,,,,,,
Leonardo S.p.A,2G -02,,,,,,,
Luqia Technologies,1B -12a,,,,,,,
Luxembourg Space Agency (LSA),2A -02,,,,,,,
Magdrive,1H -02,,,,,,,
Maldives Space Research Organisation (MSRO),1E -10,,,,,,,
Micro-Y S.r.l,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
"MJOLNIR SPACEWORKS Co., Ltd.","1F -04, 1F-02",,,,,,,
MTES Inc.,"1A -07, 1A-10",,,,,,,
Nara Space,1B -16,,,,,,,
National Aeronautics and Space Administration (NASA),1B -06,,,,,,,
Netherlands Organisation for Applied Scientific Research (TNO),2A -08,,,,,,,
Nippon Television Network Corporation (NIPPON TV ),"1F -04, 1F-02",,,,,,,
NL Space,2A -08,,,,,,,
OCCAM Space,1D -10,,,,,,,
Officina Stellare S.p.A.,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
OHB SE,"1H -18, 1F-08,1H-16",,,,,,,
OKAPI:Orbits GmbH,"1H -18, 1F-08,1H-16",,,,,,,
Omspace Rocket and Exploration Pvt Ltd (Omspace),2C -03,,,,,,,
Open Cosmos,1G -06,,,,,,,
Opsin Elektro Optik Sistemler AŞ. (OPSİN),2B -06,,,,,,,
OrbitsIQ Global Germany GmbH,"1H -18, 1F-08,1H-16",,,,,,,
Orta Doğu Teknik Üniversitesi (ODTÜ) - Middle-east Technical University (METU),2B- 06,,,,,,,
Pangea Propulsion,1D -10,,,,,,,
Paradigma Technologies,1A -02,,,,,,,
Perigee Aerospace Inc.,"1A -07, 1A-10",,,,,,,
Peter HUBER Kältemaschinenbau SE,"1H -18, 1F-08,1H-16",,,,,,,
PICOSATS S.r.l.,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
Piemonte Agency,2F -03,,,,,,,
PLD Space,1D -10,,,,,,,
PLUG IN,2C - 06,,,,,,,
Polimak Space,1B -14,,,,,,,
Polish Space Agency (POLSA),1B -04,,,,,,,
Poloptech Optik ve Uzay Sanayi Ticaret A.Ş. (POLOPTECH),2B -06,,,,,,,
PROFEN,1F-10a,,,,,,,
Protostar Labs,2F-07,,,,,,,
Quantum Galactics GmbH,"1H -18, 1F-08,1H-16",,,,,,,
Radian Systems,1D -10,,,,,,,
Redwire,2A -04,,,,,,,
RF Microtech S.r.l,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
RINA Consulting S.p.A,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
ROKETSAN,1D -04,,,,,,,
Royal Netherlands Aerospace Centre (NLR),2A -08,,,,,,,
Safran Space,1E -08,,,,,,,
SAHA Akademi,1A-00,,,,,,,
SAHA EXPO,1A-00,,,,,,,
SAHA İstanbul,1A-00,,,,,,,
SAHA MİLLİ HAVACILIK ENDÜSTRİSİ KÜMELENMESİ (SAHA MİHENK),2D-03,,,,,,,
Saipher,2A -07,,,,,,,
Samtech Corporation,"1F -04, 1F-02",,,,,,,
SARsatX,2G-05b,,,,,,,
SATLANTIS,1D -10,,,,,,,
Satrec Initiative,1A -17,,,,,,,
Satsearch,2A -08,,,,,,,
SDT Uzay ve Savunma Teknolojileri A.Ş. (SDT),1D -08,,,,,,,
Secunet Security Networks AG,"1H -18, 1F-08,1H-16",,,,,,,
SFL Missions,2A -01,,,,,,,
Shenzhen MagicCubeSat Technology,2D -08,,,,,,,
Simera Sense,2E -08,,,,,,,
Singapore Space & Technology Think Tank,2C-02,,,,,,,
SkyLabs,1A -02,,,,,,,
Skyloom Global,2E - 09,,,,,,,
South African National Space Agency (SANSA),1C -12,,,,,,,
Space Agency of the Republic of Azerbaijan (AZERCOSMOS),1D -08b,,,,,,,
Space Applications Services,1D -01,,,,,,,
SPACE CAMP TURKİYE,2B -06,,,,,,,
Space Compass Corporation,"1F -04, 1F-02",,,,,,,
Space Exchange Switzerland,1G -08,,,,,,,
Space Generation Advisory Council (SGAC),2E -07,,,,,,,
Space Park Leicester,1H -02,,,,,,,
Space Products and Innovation (SPiN),2E - 10,,,,,,,
Space Quarters Inc.,"1F -04, 1F-02",,,,,,,
Space Research Organisation Netherlands (SRON),2A -08,,,,,,,
"Space Solutions Co., Ltd.","1A -07, 1A-10",,,,,,,
Space Structures GmbH,"1H -18, 1F-08,1H-16",,,,,,,
SPACEBEL,2A -04,,,,,,,
SPACEMAP Inc.,"1A -07, 1A-10",,,,,,,
SpacePoint,1C -06,,,,,,,
Spanish Pavilion,1D -10,,,,,,,
Sparkwing,2A -08,,,,,,,
SPEX Inc.,"1A -07, 1A-10",,,,,,,
SPIRIT Slovenia Business Development Agency,1A -02,,,,,,,
SSC Space,2B -03,,,,,,,
ST Engineering,1A -13,,,,,,,
STAR.VISION,1E -06,,,,,,,
Stellar Project S.r.l,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
Stellaria,1C -06,,,,,,,
Stellarvision Inc.,"1A -07, 1A-10",,,,,,,
Surrey Satellite Technology Ltd. (SSTL),1A -16,,,,,,,
"Suzhou Everlight Space Technology Co., Ltd.",1B -07,,,,,,,
Swiss Center for Electronics and Microtechnology (CSEM),1G -08,,,,,,,
Teknokar Savunma ve Havacılık A.Ş. (TEKNOKAR),2B -06,,,,,,,
Teledyne,1F -05,,,,,,,
TelePIX,1B -05,,,,,,,
Tensor Tech,2C -01,,,,,,,
Tesat-Spacecom GmbH & Co. KG,"1H -18, 1F-08,1H-16",,,,,,,
Thales Alenia Space (TAS),1G -08,,,,,,,
Thales Alenia Space (TAS),1B -03,,,,,,,
The German Aerospace Industries Association (BDLI),"1H -18, 1F-08,1H-16",,,,,,,
The Hong Kong Polytechnic University (PolyU),1C -04,,,,,,,
THRUST KZ,2G-04,,,,,,,
ThrustMe,1H -14,,,,,,,
Timtec,1A -02,,,,,,,
Turkish Aerospace Industries (TUSAŞ),1A -06,,,,,,,
TY-Space Technology (Beijing) Ltd.,1F -12,,,,,,,
TÜBİTAK Space Technologies Research Institute (TÜBİTAK UZAY),1D-08,,,,,,,
Türk Uzay Ajansı - Turkish Space Agency (TUA),1B -08b,,,,,,,
Türkiye Bilimsel ve Teknolojik Araştırma Kurumu - The Scientific and Technological Research Council of Türkiye (TÜBİTAK),1B -08b,,,,,,,
Türkiye Bilimsel ve Teknolojik Araştırma Kurumu - The Scientific and Technological Research Council of Türkiye (TÜBİTAK),1D -08,,,,,,,
Türkiye Ulusal Gözlemevleri (TRGÖZ),1D -08,,,,,,,
TÜRKİYE PAVILION,"1D -08, 2B -06",,,,,,,
Türksat Uydu Haberleşme Kablo TV ve İşletme A.Ş. (TÜRKSAT),2B -06,,,,,,,
UAE Space Agency (UAESA),1C -06,,,,,,,
UAE SPACE PAVILION,1C -06,,,,,,,
UARX Space,1D -10,,,,,,,
UK Space Agency (UKSA),1H -02,,,,,,,
United Nations Office for Outer Space Affairs (UNOOSA),1E -10,,,,,,,
University of Central Florida (UCF),2A -06,,,,,,,
Unmanned Exploration Laboratory (UEL),"1A -07, 1A-10",,,,,,,
UZCOSMOS,1D -08a,,,,,,,
VASTARA Additive Manufacturing,1C -06,,,,,,,
Venturi Space,1G -08,,,,,,,
VersoSat S.r.l.,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
VEX Hungarian Defense and Space Export Agency,1A -15,,,,,,,
VITO Remote Sensing,2A -04,,,,,,,
VPT,1H -12,,,,,,,
Werum Software & Systems AG,"1H -18, 1F-08,1H-16",,,,,,,
"Xiamen Wafertop Technology Co., Ltd (WAFERTOP)",1B -12b,,,,,,,
Yamaguchi Aerospace Cluster,"1F -04, 1F-02",,,,,,,
Yokogawa Electric Corporation,"1F -04, 1F-02",,,,,,,
Zoppas Industries,"2E-04, 2D-04, 2D-02, 2D-01",,,,,,,
