exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,event_location,profile_url,event_source
SCHNEIDER ELECTRIC POLSKA SP. Z O.O.,se.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 25,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
SIBA POLSKA SP. Z O.O.,siba-bezpieczniki.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 4,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
SICAME POLSKA SP. Z O.O.,sicame.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 12,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
SIEMENS ENERGY SP. Z O.O.,siemens-energy.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 7,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
SONEL S.A.,sonel.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 71,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
STASIŃSKI SP. Z O.O.,stasinski.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 11,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
STRUNOBET-MIGACZ SP. Z O.O.,strunobet.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 37,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
TARANOS SP. Z O.O.,taranos.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 76,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
TAURUS-TECHNIC SP. Z O.O.,taurus-technic.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 42,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
TESAR POLSKA,the-rsgroup.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 94,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
TM TEHNOLOGIE SP. Z O.O.,tmtechnologie.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 65,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
TRANSFER MULTISORT ELEKTRONIC SP. Z O.O.,tme.eu,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 45,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
TT PLAST S.A.,ttplast.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 102,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
UESA POLSKA SP. Z O.O.,uesa.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 133,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
VOLT HUB EUROPE SP. Z O.O.,volt-hub.eu,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
WAGO ELWAG SP. Z O.O.,wago.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 20,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
WIŚNIEWSKI NIDZICA SP. Z O.O.,wisniewski-nidzica.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 116,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ZAKŁAD PRODUKCYJNO-USŁUGOWY ELRAF,elraf.eu,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 89,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ZAKŁAD PRODUKCYJNY APARATURY ELEKTRYCZNEJ SP. Z O.O.,zprae.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 58,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ZIAD BIELSKO-BIAŁA S.A.,ziad.bielsko.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 82,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ZPUE S.A.,zpue.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 72,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ZWAE SP. Z O.O.,zwae.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 48,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
